"Gross national income (GNI) per capita (constant 2017 PPP$)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population."
"Source: World Bank (2020a), IMF (2020) and United Nations Statistics Division (2020b)"
""
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"19"," Israel","23668","","24213","","25150","","25497","","26661","","27785","","28321","","28593","","29038","","28902","","29644","","29616","","29176","","28948","","29841","","31089","","32391","","33744","","33555","","32906","","34306","","35469","","35174","","36144","","37309","","37313","","38024","","38573","","39568","","40187",""
"29"," Italy","36282","","36750","","36975","","36725","","37450","","38659","","39234","","40139","","40814","","41621","","43098","","43947","","43931","","43780","","44259","","44546","","45315","","45613","","44435","","42253","","42782","","42994","","41654","","40395","","40096","","40164","","41155","","42013","","42657","","42776",""
"101"," Jamaica","7166","","7114","","7631","","9694","","9399","","9474","","9643","","9526","","9095","","9070","","9102","","9062","","8908","","9219","","9309","","9311","","9619","","9711","","9709","","9107","","9088","","9214","","9305","","9209","","9242","","9186","","9150","","9315","","9297","","9319",""
"19"," Japan","32323","","33306","","33559","","33314","","33516","","34309","","35397","","35729","","35206","","35050","","36045","","36140","","36059","","36590","","37495","","38221","","38905","","39646","","39030","","36872","","38455","","38563","","39143","","40240","","40536","","41194","","41279","","42315","","42564","","42932",""
"102"," Jordan","7063","","6581","","7562","","7580","","7619","","7847","","7748","","7923","","8086","","8206","","8665","","9011","","9251","","9480","","10100","","10559","","11024","","11523","","11641","","11653","","11039","","10725","","10390","","10170","","10001","","9856","","9790","","9791","","9807","","9858",""
"51"," Kazakhstan","13745","","12247","","11646","","10624","","9396","","8764","","8916","","9184","","9171","","9350","","9994","","11522","","12765","","13735","","14759","","15396","","16317","","17275","","16889","","17769","","17976","","18264","","19217","","21069","","21753","","23137","","22005","","22158","","22172","","22857",""
"143"," Kenya","3096","","3025","","2911","","2771","","2785","","2867","","2948","","2894","","2918","","2892","","2839","","2865","","2809","","2809","","2880","","2991","","3091","","3207","","3137","","3152","","3317","","3439","","3486","","3573","","3658","","3776","","3895","","3969","","4135","","4244",""
"134"," Kiribati","2383","","2329","","2219","","2120","","2172","","2320","","1961","","2474","","2856","","2694","","2656","","2647","","2618","","2399","","2337","","2981","","2883","","2925","","2856","","2641","","2730","","2600","","2924","","3266","","3714","","4495","","4007","","4287","","4229","","4260",""
"23"," Korea (Republic of)","12655","","13880","","14583","","15429","","16667","","18063","","19308","","20268","","18928","","21000","","22825","","23749","","25518","","26192","","27495","","28464","","29933","","31522","","32316","","32347","","34480","","35636","","36449","","37288","","38185","","38990","","40002","","41168","","42002","","43044",""
"64"," Kuwait","43412","","27932","","45912","","60267","","67644","","75429","","75430","","76217","","74972","","65899","","66285","","62554","","60489","","69029","","77058","","83099","","86993","","85740","","80204","","69678","","65119","","67051","","68824","","66177","","63974","","62106","","62892","","59255","","59333","","58590",""
"120"," Kyrgyzstan","5142","","4679","","3991","","3361","","2628","","2453","","2603","","2776","","2767","","2782","","2888","","3087","","3070","","3262","","3396","","3394","","3533","","3814","","3978","","4054","","3890","","3867","","4160","","4380","","4540","","4633","","4659","","4803","","4980","","4864",""
