		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Iran. Islamic Rep.	IRN	-0.94	0.21	6.00	19.60	9.55	32.16	-0.67	0.22	6.00	28.50	17.50	41.50	-0.51	0.18	6.00	34.65	26.24	45.05	-0.78	0.19	8.00	26.73	14.85	38.61	-0.64	0.19	9.00	30.20	17.33	43.56	-0.66	0.18	11.00	31.58	17.22	40.19	-0.83	0.17	11.00	23.44	13.88	34.93	-0.95	0.17	13.00	19.14	10.53	29.19	-0.97	0.16	13.00	15.79	9.57	27.27	-0.91	0.15	13.00	20.67	11.06	30.77	-0.97	0.15	12.00	17.54	10.43	27.96	-1.02	0.16	12.00	15.64	8.06	27.01	-0.97	0.15	13.00	17.37	10.80	27.70	-0.92	0.15	13.00	19.72	9.86	31.92	-1.00	0.15	13.00	16.43	9.39	27.23	-1.06	0.17	11.00	12.50	6.73	23.08	-0.92	0.17	12.00	17.31	8.17	30.29	-0.68	0.18	11.00	27.40	16.83	37.50	-0.68	0.17	11.00	26.44	15.87	38.46	-0.69	0.16	11.00	25.00	16.83	35.58	-0.75	0.16	11.00	24.04	14.90	33.65
Iraq	IRQ	-1.56	0.21	6.00	5.03	0.50	12.56	-1.55	0.22	6.00	5.00	1.00	11.50	-1.39	0.18	6.00	5.94	1.49	16.34	-1.51	0.22	6.00	4.46	0.00	12.38	-1.64	0.23	5.00	2.97	0.00	9.41	-1.83	0.21	5.00	0.48	0.00	6.22	-1.71	0.21	6.00	1.44	0.00	7.18	-1.68	0.22	6.00	1.44	0.00	8.13	-1.84	0.21	6.00	0.48	0.00	4.31	-1.77	0.20	9.00	1.44	0.00	4.33	-1.70	0.20	10.00	1.42	0.00	4.27	-1.56	0.17	11.00	2.37	0.47	8.06	-1.45	0.17	10.00	3.29	0.94	13.15	-1.46	0.16	11.00	3.29	0.00	9.86	-1.45	0.16	11.00	3.76	0.94	10.80	-1.33	0.18	10.00	6.73	1.44	13.46	-1.42	0.18	10.00	5.77	0.96	10.58	-1.63	0.18	10.00	3.85	1.44	8.17	-1.64	0.17	10.00	4.33	1.44	7.69	-1.76	0.17	10.00	3.37	0.96	5.77	-1.72	0.17	10.00	3.85	0.96	5.29
Iceland	ISL	1.60	0.25	7.00	93.47	86.43	100.00	1.70	0.24	7.00	94.00	89.50	100.00	1.83	0.21	7.00	96.53	91.09	100.00	1.89	0.22	7.00	98.02	92.08	100.00	1.96	0.21	7.00	99.01	93.07	100.00	1.93	0.21	7.00	98.56	92.34	100.00	1.95	0.21	7.00	99.52	92.34	100.00	1.90	0.17	8.00	98.09	92.82	100.00	1.85	0.18	8.00	97.13	90.91	100.00	1.87	0.17	9.00	97.60	90.87	100.00	1.71	0.18	9.00	93.36	89.10	100.00	1.71	0.17	10.00	93.36	90.05	100.00	1.70	0.16	10.00	93.43	89.67	100.00	1.69	0.16	11.00	92.49	89.20	98.59	1.66	0.16	11.00	92.49	88.26	98.59	1.71	0.17	10.00	90.87	87.50	97.60	1.67	0.17	10.00	90.87	87.98	96.63	1.52	0.19	9.00	90.38	86.06	95.67	1.61	0.18	9.00	90.87	86.54	97.60	1.72	0.17	9.00	93.27	88.94	99.52	1.77	0.17	8.00	95.19	89.90	100.00
Israel	ISR	1.28	0.19	8.00	88.44	80.40	92.96	1.03	0.20	8.00	83.00	73.00	90.00	1.02	0.16	9.00	82.67	73.27	85.64	1.10	0.18	9.00	83.66	74.75	89.11	0.94	0.18	9.00	79.70	71.29	84.65	0.86	0.17	9.00	76.56	67.46	85.17	0.82	0.17	9.00	75.60	65.07	83.73	0.90	0.16	12.00	77.99	67.94	88.04	0.83	0.16	12.00	74.64	66.99	83.25	0.85	0.16	12.00	75.48	68.27	83.65	0.84	0.16	11.00	74.41	66.35	83.89	0.92	0.16	11.00	79.62	67.30	85.31	1.01	0.15	11.00	80.28	73.24	86.38	0.93	0.16	11.00	78.87	70.42	86.38	0.98	0.16	11.00	80.75	72.30	86.38	1.11	0.17	10.00	83.65	76.92	86.54	1.16	0.17	10.00	85.10	78.85	88.46	1.07	0.19	9.00	82.69	76.44	87.98	1.02	0.18	9.00	82.21	76.44	86.54	0.99	0.17	9.00	80.77	75.00	86.54	1.05	0.17	9.00	82.21	76.92	87.02
Italy	ITA	1.06	0.19	8.00	84.42	68.84	89.95	0.83	0.20	8.00	76.50	67.50	84.00	0.86	0.16	9.00	77.23	69.31	84.16	0.76	0.18	9.00	74.75	65.84	83.17	0.72	0.18	9.00	73.27	64.85	82.18	0.60	0.17	9.00	68.42	59.33	77.03	0.52	0.17	9.00	64.11	58.37	75.12	0.39	0.16	11.00	62.20	56.94	67.94	0.48	0.16	12.00	64.11	58.85	71.77	0.46	0.16	12.00	63.46	58.17	71.15	0.40	0.15	12.00	62.56	59.72	68.25	0.43	0.15	13.00	63.03	60.66	68.25	0.47	0.14	14.00	63.38	61.03	69.95	0.40	0.15	14.00	63.38	59.62	69.01	0.40	0.15	13.00	63.38	58.69	70.42	0.38	0.16	11.00	67.31	61.54	74.52	0.28	0.16	11.00	64.90	57.21	70.19	0.33	0.17	10.00	62.02	55.29	72.60	0.32	0.16	10.00	62.50	55.29	72.12	0.25	0.16	10.00	62.02	53.85	69.71	0.28	0.16	10.00	61.54	53.85	69.71
Jamaica	JAM	-0.34	0.21	6.00	40.20	28.64	51.76	-0.16	0.22	7.00	47.00	34.50	57.00	-0.40	0.17	8.00	39.11	29.70	48.02	-0.27	0.18	10.00	45.54	34.16	54.95	-0.44	0.18	10.00	40.59	27.23	48.02	-0.37	0.17	11.00	41.15	32.06	50.24	-0.42	0.17	11.00	39.71	30.14	46.89	-0.40	0.16	13.00	43.06	29.67	49.76	-0.36	0.16	13.00	44.02	31.10	52.15	-0.33	0.16	13.00	45.19	34.13	52.88	-0.43	0.16	13.00	41.23	29.38	50.24	-0.45	0.15	13.00	39.81	29.38	48.82	-0.40	0.14	14.00	43.19	30.99	49.30	-0.38	0.14	15.00	43.19	32.39	50.23	-0.35	0.14	15.00	44.13	33.80	51.64	-0.28	0.15	14.00	45.67	33.65	56.73	-0.23	0.15	14.00	47.60	37.50	57.21	-0.20	0.16	13.00	47.12	34.13	56.25	-0.16	0.16	11.00	49.04	38.46	56.73	-0.23	0.15	11.00	46.63	34.13	54.33	-0.31	0.15	11.00	44.23	30.77	50.96
Jordan	JOR	0.28	0.20	7.00	60.80	48.24	67.84	0.35	0.20	8.00	64.50	53.50	73.00	0.37	0.17	8.00	63.86	54.46	71.29	0.11	0.18	9.00	57.43	48.02	64.36	0.36	0.17	11.00	63.86	54.95	71.29	0.32	0.16	12.00	59.81	55.50	67.46	0.33	0.15	13.00	60.77	55.98	66.03	0.33	0.15	15.00	61.24	55.98	66.51	0.39	0.15	16.00	61.24	58.37	69.38	0.41	0.14	16.00	62.50	58.17	70.19	0.25	0.14	16.00	61.61	54.98	63.98	0.19	0.14	16.00	61.14	54.03	62.56	0.24	0.13	16.00	61.50	55.87	62.44	0.37	0.13	17.00	62.91	59.62	67.14	0.39	0.13	16.00	62.91	59.15	68.54	0.46	0.15	14.00	68.75	64.90	75.48	0.44	0.14	14.00	67.79	62.98	74.04	0.30	0.16	13.00	61.06	55.29	71.63	0.26	0.16	12.00	61.06	52.40	69.23	0.23	0.14	13.00	61.06	53.85	68.75	0.14	0.15	13.00	58.17	50.48	64.90
Japan	JPN	1.35	0.19	8.00	89.45	81.41	94.97	1.39	0.20	8.00	90.50	83.50	94.00	1.32	0.16	9.00	87.13	83.66	92.57	1.18	0.18	9.00	84.16	77.72	90.10	1.20	0.18	9.00	84.65	78.71	90.10	1.27	0.17	9.00	88.04	81.34	92.34	1.23	0.17	9.00	87.56	80.38	90.91	1.36	0.16	11.00	89.95	86.60	92.82	1.34	0.16	12.00	89.47	83.25	90.91	1.32	0.16	12.00	88.94	83.65	90.87	1.29	0.15	12.00	87.68	82.94	91.00	1.33	0.16	12.00	87.68	82.94	91.00	1.31	0.14	12.00	87.32	83.10	90.14	1.36	0.15	12.00	87.79	85.45	91.08	1.44	0.15	12.00	90.14	85.92	92.49	1.60	0.16	11.00	89.42	86.06	94.23	1.52	0.16	11.00	89.42	85.10	92.79	1.42	0.17	10.00	89.42	85.10	92.79	1.57	0.16	10.00	89.90	86.54	97.12	1.53	0.16	10.00	90.38	86.54	95.19	1.54	0.16	10.00	90.38	86.54	95.67
Kazakhstan	KAZ	-1.19	0.20	5.00	14.07	5.03	22.11	-1.07	0.20	8.00	16.50	6.50	26.00	-1.11	0.16	11.00	14.85	6.93	25.74	-1.14	0.17	11.00	13.37	5.45	22.28	-1.03	0.18	11.00	16.34	7.92	26.24	-1.01	0.16	12.00	16.75	9.09	26.32	-0.87	0.15	13.00	22.97	13.40	33.01	-1.02	0.15	15.00	15.31	9.57	25.36	-0.95	0.14	16.00	19.14	11.96	27.27	-0.82	0.13	17.00	23.56	14.42	33.17	-0.65	0.13	16.00	31.75	21.33	40.76	-0.62	0.13	16.00	31.75	23.70	40.76	-0.57	0.12	16.00	32.39	26.29	43.66	-0.68	0.12	17.00	30.52	21.13	39.91	-0.69	0.12	16.00	30.52	20.19	39.91	-0.60	0.13	15.00	32.21	20.67	40.87	-0.44	0.13	15.00	38.94	30.29	47.60	-0.44	0.15	13.00	36.06	27.40	47.12	-0.41	0.14	13.00	38.46	29.33	48.08	-0.43	0.13	13.00	35.58	27.40	47.12	-0.43	0.14	13.00	36.06	27.40	46.63
Kenya	KEN	-1.02	0.21	6.00	18.09	9.05	28.64	-1.05	0.21	8.00	17.50	6.50	27.50	-0.87	0.18	8.00	24.75	12.87	32.18	-0.87	0.18	11.00	21.78	11.39	34.16	-0.83	0.17	13.00	23.27	13.86	32.67	-0.84	0.16	14.00	22.49	14.83	33.97	-0.88	0.15	14.00	22.49	13.40	31.58	-0.88	0.14	17.00	22.01	11.96	30.14	-0.97	0.14	17.00	17.70	11.00	26.32	-0.99	0.14	17.00	16.35	9.62	24.04	-1.01	0.14	17.00	17.06	9.48	23.22	-0.94	0.13	17.00	18.48	11.85	28.44	-0.90	0.13	18.00	19.25	13.62	29.11	-0.82	0.13	18.00	23.94	15.49	32.39	-0.71	0.13	18.00	29.11	18.78	39.91	-0.42	0.14	16.00	38.46	31.25	48.56	-0.49	0.14	16.00	36.54	27.88	46.63	-0.44	0.15	15.00	35.58	26.92	47.12	-0.41	0.14	15.00	37.98	28.85	48.08	-0.41	0.14	15.00	37.98	28.37	48.08	-0.45	0.14	15.00	35.58	25.48	46.63
Kyrgyz Republic	KGZ	-0.73	0.27	4.00	27.64	14.57	42.21	-0.70	0.24	6.00	27.50	15.00	41.50	-0.87	0.21	9.00	25.25	11.39	33.66	-0.81	0.20	10.00	25.25	14.36	37.62	-0.74	0.20	10.00	26.73	15.35	40.59	-0.81	0.18	11.00	23.44	14.35	36.36	-1.11	0.18	12.00	13.88	7.18	23.92	-1.31	0.15	15.00	8.61	2.39	13.88	-1.32	0.15	15.00	7.18	3.35	12.92	-1.37	0.15	15.00	6.73	2.40	12.02	-1.33	0.14	15.00	5.69	2.37	14.22	-1.27	0.14	15.00	8.53	3.32	14.69	-1.19	0.13	15.00	12.21	5.16	16.90	-1.13	0.13	15.00	13.15	6.57	19.25	-1.11	0.13	15.00	13.15	7.51	20.19	-0.93	0.14	14.00	16.83	9.13	27.40	-0.99	0.14	14.00	14.42	7.69	25.00	-1.02	0.16	12.00	14.42	8.17	25.00	-0.93	0.15	12.00	17.31	9.62	27.40	-0.91	0.14	12.00	17.79	9.62	27.40	-0.89	0.15	12.00	19.23	10.58	27.40
Cambodia	KHM	-1.19	0.22	5.00	13.57	5.03	22.11	-1.16	0.22	6.00	13.00	6.00	24.00	-1.06	0.18	8.00	16.83	7.43	26.73	-1.14	0.19	9.00	12.87	5.45	23.76	-1.25	0.19	10.00	9.90	3.47	17.33	-1.28	0.17	11.00	8.61	3.83	17.22	-1.23	0.16	12.00	10.53	4.31	18.66	-1.23	0.16	14.00	10.53	3.83	16.75	-1.14	0.16	14.00	12.44	5.74	21.05	-1.15	0.15	15.00	11.54	5.77	20.67	-1.12	0.15	15.00	13.74	4.27	20.85	-1.12	0.14	15.00	12.80	5.69	21.33	-1.05	0.14	15.00	15.02	8.92	23.47	-0.98	0.14	15.00	16.90	9.39	27.23	-1.00	0.14	15.00	15.49	9.39	25.82	-0.96	0.15	13.00	15.87	7.21	27.40	-0.98	0.15	13.00	14.90	7.69	26.92	-1.06	0.17	12.00	12.98	8.17	21.63	-1.06	0.16	12.00	13.46	8.17	21.63	-1.11	0.15	12.00	11.06	6.73	18.27	-0.94	0.15	12.00	17.79	9.13	25.48
Kiribati	KIR	0.81	0.70	1.00	76.88	39.70	100.00	0.18	0.53	2.00	57.00	27.50	83.50	0.59	0.44	3.00	68.81	48.02	86.14	0.56	0.41	3.00	67.82	50.00	84.16	0.31	0.41	3.00	62.87	42.57	81.19	0.37	0.26	4.00	62.20	50.72	72.73	0.72	0.27	4.00	70.81	58.85	86.60	0.85	0.29	4.00	75.12	61.24	89.47	0.76	0.29	4.00	72.25	58.85	87.08	0.35	0.22	5.00	61.06	54.33	71.15	0.13	0.22	7.00	58.77	47.39	63.98	0.06	0.21	7.00	56.87	45.97	62.56	0.10	0.21	7.00	58.22	47.89	62.44	0.14	0.21	7.00	59.15	49.30	64.79	0.18	0.20	7.00	59.62	50.70	65.73	-0.12	0.22	6.00	52.40	36.06	64.90	-0.16	0.22	6.00	50.48	34.62	62.98	0.24	0.32	4.00	59.62	43.27	75.96	0.53	0.32	3.00	69.71	52.40	82.69	0.49	0.32	3.00	69.71	53.37	81.25	0.74	0.31	3.00	75.96	61.06	86.06
St. Kitts and Nevis	KNA	0.81	0.70	1.00	76.88	39.70	100.00	0.42	0.53	2.00	67.00	36.00	88.50	0.85	0.50	2.00	76.73	52.48	93.56	0.67	0.49	2.00	70.79	49.01	90.10	0.62	0.46	2.00	70.79	48.02	89.60	0.72	0.26	4.00	72.25	59.33	85.17	0.77	0.28	4.00	72.73	59.33	86.60	0.83	0.29	4.00	74.64	61.24	89.47	0.79	0.28	4.00	74.16	59.81	87.08	0.75	0.25	3.00	72.60	59.13	85.10	0.74	0.26	3.00	71.09	61.61	86.26	0.70	0.26	3.00	69.19	62.09	84.83	0.72	0.26	3.00	70.89	61.97	84.98	0.71	0.25	3.00	71.36	61.97	85.45	0.72	0.25	3.00	72.77	61.50	85.92	0.07	0.30	2.00	61.06	37.98	72.12	0.48	0.26	3.00	68.27	58.65	79.33	0.51	0.26	4.00	69.71	56.73	79.81	0.53	0.31	3.00	70.67	53.85	82.69	0.56	0.33	2.00	72.12	54.33	83.17	0.48	0.33	2.00	67.31	50.96	81.25
Korea. Rep.	KOR	0.80	0.19	8.00	71.36	63.32	85.43	0.81	0.19	9.00	75.50	67.50	84.00	0.88	0.16	10.00	79.70	69.80	84.16	0.95	0.17	11.00	79.21	69.80	84.16	0.83	0.17	11.00	76.24	66.83	84.16	0.92	0.16	11.00	78.47	70.33	86.12	0.99	0.16	11.00	82.30	71.29	87.56	0.87	0.15	13.00	76.08	67.46	87.08	1.03	0.15	13.00	83.25	72.73	87.56	0.88	0.15	13.00	78.85	70.19	83.65	0.99	0.14	14.00	81.99	71.09	87.20	1.00	0.14	14.00	81.52	72.04	87.20	1.03	0.13	15.00	81.22	74.18	86.38	0.98	0.14	14.00	80.75	71.83	86.38	0.95	0.14	14.00	79.81	72.77	85.92	0.99	0.15	13.00	80.77	76.44	86.06	0.93	0.16	12.00	80.29	74.04	85.10	1.16	0.17	11.00	86.06	79.81	89.42	1.16	0.16	11.00	85.58	79.81	88.46	1.24	0.15	11.00	86.06	80.29	89.42	1.19	0.16	11.00	86.06	79.33	89.42
Kuwait	KWT	0.60	0.21	6.00	67.34	59.30	79.90	0.64	0.22	6.00	70.50	60.50	82.00	0.57	0.18	6.00	67.82	59.90	79.21	0.61	0.20	8.00	69.31	59.90	78.71	0.57	0.21	7.00	68.32	60.89	78.71	0.52	0.20	7.00	66.03	59.33	75.12	0.54	0.18	9.00	65.07	58.85	75.60	0.54	0.17	11.00	65.07	59.81	70.81	0.60	0.17	11.00	68.90	59.81	77.51	0.59	0.16	11.00	68.27	59.13	77.88	0.59	0.16	11.00	66.82	61.61	74.88	0.59	0.16	11.00	66.82	62.56	76.78	0.55	0.15	11.00	66.20	61.97	74.18	0.37	0.16	11.00	62.44	57.75	68.54	0.37	0.16	11.00	62.44	56.34	69.48	0.02	0.18	10.00	59.62	46.15	65.38	0.00	0.18	9.00	57.21	45.67	64.90	0.03	0.20	8.00	55.29	43.27	63.46	0.10	0.18	8.00	57.69	47.60	63.94	0.21	0.17	8.00	60.10	51.92	69.71	0.22	0.18	9.00	61.06	50.96	69.23
Lao PDR	LAO	-1.05	0.32	4.00	17.09	4.02	34.67	-0.92	0.28	5.00	20.50	6.50	37.00	-0.99	0.24	7.00	20.30	6.93	32.18	-1.15	0.23	8.00	12.38	3.96	25.74	-1.27	0.23	8.00	9.41	2.48	18.32	-1.12	0.21	10.00	13.88	6.22	24.40	-1.18	0.21	10.00	11.96	3.83	22.97	-1.02	0.18	12.00	15.79	8.61	26.79	-0.96	0.18	12.00	18.18	9.57	29.67	-0.87	0.17	12.00	21.15	11.54	33.65	-1.05	0.15	13.00	15.17	7.11	22.75	-0.98	0.15	13.00	16.59	9.00	27.96	-1.00	0.14	13.00	16.43	9.86	26.29	-0.85	0.15	13.00	22.07	13.62	32.39	-0.80	0.15	14.00	24.41	15.02	34.74	-0.75	0.16	12.00	25.48	13.46	35.58	-0.80	0.16	11.00	23.56	12.98	33.17	-0.80	0.18	10.00	20.67	12.02	32.69	-0.88	0.17	10.00	18.27	10.10	30.77	-0.84	0.16	10.00	18.75	11.06	30.77	-0.94	0.16	10.00	17.31	8.65	25.96
Lebanon	LBN	-0.28	0.22	5.00	42.21	30.65	53.27	-0.31	0.22	6.00	41.50	27.50	54.00	-0.17	0.18	7.00	46.04	37.62	55.45	-0.31	0.18	10.00	44.55	33.66	52.97	-0.39	0.19	9.00	42.08	28.71	50.50	-0.26	0.18	10.00	44.02	35.41	54.55	-0.33	0.18	10.00	43.54	32.06	52.15	-0.64	0.16	13.00	30.62	20.10	43.54	-0.70	0.16	13.00	28.71	17.70	41.15	-0.67	0.15	13.00	28.85	19.71	39.90	-0.68	0.15	14.00	28.91	18.01	40.76	-0.71	0.14	15.00	29.38	18.48	38.39	-0.69	0.13	16.00	29.58	18.31	38.97	-0.75	0.14	15.00	27.23	16.90	38.03	-0.78	0.14	15.00	25.82	15.49	34.74	-0.77	0.15	13.00	24.52	13.46	34.13	-0.83	0.15	13.00	21.15	12.98	31.73	-0.83	0.17	12.00	19.23	11.54	31.25	-0.82	0.16	12.00	21.15	12.50	31.25	-0.76	0.16	11.00	23.56	16.35	32.69	-0.86	0.15	12.00	19.71	12.02	27.88
Liberia	LBR	-1.93	0.32	4.00	0.50	0.00	7.54	-1.93	0.28	6.00	1.00	0.00	6.00	-2.01	0.25	6.00	0.50	0.00	2.48	-1.81	0.26	7.00	0.50	0.00	6.44	-1.65	0.27	6.00	2.48	0.00	10.89	-1.56	0.25	7.00	4.31	0.00	12.92	-1.33	0.25	7.00	8.61	0.96	20.10	-0.89	0.23	9.00	21.05	9.57	38.28	-0.89	0.24	9.00	20.57	8.61	36.84	-1.09	0.18	13.00	13.46	6.25	24.04	-1.01	0.15	15.00	16.59	8.53	26.07	-0.96	0.15	15.00	17.06	10.90	28.44	-0.93	0.14	16.00	17.84	13.15	29.11	-0.89	0.13	18.00	20.66	13.62	31.46	-0.88	0.13	18.00	20.66	13.15	31.46	-0.81	0.14	15.00	21.63	13.46	32.69	-0.86	0.14	16.00	19.71	12.02	30.77	-0.95	0.16	14.00	17.31	9.13	26.92	-0.95	0.15	14.00	16.35	9.62	25.00	-0.99	0.14	14.00	16.83	8.65	23.56	-1.00	0.15	13.00	16.35	8.17	23.56
Libya	LBY	-1.18	0.21	6.00	14.57	5.03	22.11	-1.11	0.22	6.00	14.50	6.00	26.00	-0.99	0.18	6.00	19.31	8.91	29.70	-1.14	0.20	7.00	13.86	4.95	24.75	-0.90	0.20	7.00	19.31	9.90	32.18	-0.91	0.19	9.00	17.70	10.53	33.97	-0.98	0.19	9.00	18.66	8.61	31.10	-1.08	0.19	9.00	13.40	6.70	25.36	-0.95	0.18	10.00	18.66	9.57	29.67	-0.82	0.17	11.00	23.08	12.98	35.58	-0.93	0.15	12.00	18.01	11.37	28.44	-0.99	0.15	13.00	16.11	9.00	27.01	-1.20	0.15	12.00	11.74	4.23	17.37	-1.14	0.15	13.00	12.21	5.63	20.19	-1.34	0.15	14.00	7.51	2.35	13.15	-1.51	0.16	12.00	2.88	0.96	7.21	-1.63	0.17	10.00	2.40	0.48	5.77	-1.82	0.19	9.00	1.92	0.48	5.29	-1.78	0.17	9.00	1.92	0.96	5.29	-1.79	0.17	9.00	2.40	0.48	5.29	-1.85	0.17	9.00	1.92	0.48	5.29
St. Lucia	LCA	0.81	0.70	1.00	76.88	39.70	100.00	0.42	0.53	2.00	67.00	36.00	88.50	0.85	0.50	2.00	76.73	52.48	93.56	0.67	0.49	2.00	70.79	49.01	90.10	0.62	0.46	2.00	70.79	48.02	89.60	0.68	0.26	4.00	70.81	59.33	84.69	0.77	0.28	4.00	72.73	59.33	86.60	0.83	0.29	4.00	74.64	61.24	89.47	0.79	0.28	4.00	74.16	59.81	87.08	0.85	0.22	4.00	75.00	65.38	87.02	0.86	0.22	4.00	75.36	63.98	87.20	0.85	0.21	5.00	74.41	64.93	86.26	0.79	0.21	5.00	74.18	62.44	84.98	0.66	0.21	6.00	69.95	61.97	80.75	0.70	0.21	6.00	72.30	61.97	82.16	0.57	0.22	5.00	72.60	64.90	78.85	0.67	0.21	6.00	73.56	64.90	81.25	0.52	0.25	6.00	70.67	57.69	79.81	0.60	0.25	5.00	72.60	60.10	80.77	0.61	0.26	4.00	73.56	59.13	81.25	0.57	0.26	4.00	71.63	58.17	80.29
Liechtenstein	LIE	1.47	0.39	2.00	91.46	77.39	100.00	1.51	0.37	2.00	92.00	80.00	100.00	1.53	0.31	2.00	92.08	82.18	100.00	1.52	0.36	2.00	91.58	78.71	100.00	1.30	0.34	2.00	88.12	74.75	95.05	1.10	0.33	2.00	84.21	66.99	93.78	0.98	0.35	2.00	81.82	61.72	91.39	1.07	0.36	2.00	83.25	64.11	92.82	1.41	0.36	2.00	89.95	74.16	99.52	1.43	0.33	2.00	89.90	78.85	100.00	1.62	0.22	3.00	92.42	87.20	100.00	1.62	0.23	3.00	91.47	87.20	100.00	1.62	0.22	3.00	92.02	86.38	100.00	1.60	0.22	3.00	91.08	86.38	100.00	1.59	0.23	3.00	91.55	86.38	99.06	1.74	0.28	2.00	92.31	86.06	100.00	1.69	0.27	2.00	91.35	85.10	100.00	1.69	0.26	2.00	92.31	87.02	100.00	1.67	0.23	2.00	92.31	86.54	100.00	1.68	0.21	2.00	92.31	87.02	99.52	1.68	0.21	2.00	92.79	87.02	100.00
Sri Lanka	LKA	0.16	0.21	6.00	57.79	45.23	63.32	0.10	0.22	7.00	55.50	43.00	67.50	0.15	0.16	9.00	56.93	48.51	64.36	0.33	0.18	11.00	62.38	54.95	69.31	0.24	0.18	12.00	61.39	51.49	66.34	0.18	0.16	13.00	59.33	50.24	63.64	0.15	0.16	13.00	57.89	49.28	61.72	0.18	0.15	15.00	57.89	51.20	62.68	0.13	0.15	16.00	58.37	51.20	60.29	-0.01	0.15	16.00	54.33	47.60	59.13	-0.11	0.14	16.00	52.13	45.02	58.77	-0.12	0.14	15.00	51.66	43.60	58.77	-0.12	0.14	15.00	51.64	44.60	58.22	-0.12	0.14	16.00	51.64	45.07	57.75	-0.28	0.14	16.00	46.01	39.91	53.05	-0.17	0.15	14.00	50.00	38.46	61.06	0.04	0.15	14.00	57.69	48.08	64.90	0.11	0.17	13.00	58.17	47.60	64.42	0.06	0.16	13.00	55.29	47.60	62.02	0.03	0.15	11.00	55.77	47.12	62.02	-0.01	0.15	11.00	53.85	45.67	61.06
Lesotho	LSO	0.10	0.32	4.00	55.78	38.19	68.34	0.20	0.28	5.00	58.00	42.50	70.50	0.14	0.24	6.00	56.44	42.57	66.34	0.09	0.23	7.00	56.93	45.05	65.84	0.09	0.23	7.00	55.45	44.55	65.35	-0.11	0.21	8.00	49.76	38.76	59.33	-0.12	0.20	8.00	48.80	38.28	58.37	-0.22	0.16	10.00	47.85	39.71	55.02	-0.29	0.16	11.00	46.89	34.93	53.11	-0.23	0.15	12.00	48.08	37.50	54.33	-0.21	0.15	12.00	47.87	40.28	54.98	-0.28	0.15	12.00	46.45	36.02	54.03	-0.25	0.15	12.00	47.89	38.50	53.99	-0.24	0.15	13.00	47.42	39.91	55.40	-0.20	0.14	14.00	48.36	41.31	54.46	-0.21	0.15	13.00	48.08	37.50	59.62	-0.17	0.15	12.00	50.00	38.94	58.65	-0.17	0.17	12.00	47.60	34.13	58.17	-0.27	0.16	11.00	44.23	32.69	52.40	-0.34	0.15	11.00	41.83	29.81	51.92	-0.38	0.16	11.00	40.38	27.40	49.04
